year,DH_GEOGRAPHY_NAME,percent_inhouse_activity,life_expectancy_Female,population_over_80,total_population,total_activity,treatment_year,g,treated,post,rel_year
2003,SOUTHWARK,0,6.89,6592,255242,24433,2002,2002,1,1,1
2003,TOWER HAMLETS,3.2496709481232697,6.26,3991,208651,22033,2004,2004,0,0,-1
2003,WANDSWORTH,0,6.17,8121,276828,27594,NA,0,0,0,NA
2003,WESTMINSTER,29.737624537061187,7.2,6437,211009,19171,2016,2016,0,0,-13
2003,BARKING AND DAGENHAM,51.00602068646117,6.04,6560,166210,19433,NA,0,0,0,NA
2003,BARNET,0.8454106280193237,6.62,13607,321802,43056,NA,0,0,0,NA
2003,BEXLEY,0,5.91,9462,220016,26433,2002,2002,1,1,1
2003,BRENT,10.035510267098966,7.34,7030,268323,19431,NA,0,0,0,NA
2003,CROYDON,33.8797660555618,6.1,11558,335919,35564,NA,0,0,0,NA
2003,EALING,36.369239522093686,6.36,9084,308108,21092,NA,0,0,0,NA
2003,ENFIELD,26.78485510196528,6.1,10477,281835,27019,NA,0,0,0,NA
2003,HARINGEY,18.366532418997856,6.83,4965,225027,27561,2014,2014,0,0,-11
2003,HARROW,1.0653554599467323,7.17,8670,213728,19524,NA,0,0,0,NA
2003,HAVERING,30.317566067066398,5.93,10338,225248,22515,2011,2011,0,0,-8
2003,HILLINGDON,0,6.51,9297,248054,21017,NA,0,0,0,NA
2003,HOUNSLOW,47.27647058823529,5.79,6279,216498,17000,NA,0,0,0,NA
2003,KINGSTON UPON THAMES,41.16493134148181,5.86,6090,149683,13254,NA,0,0,0,NA
2003,NEWHAM,11.592290789330264,6.34,5447,256224,28165.27,2012,2012,0,0,-9
2003,REDBRIDGE,7.634011823989208,6.36,9570,247412,25203,2011,2011,0,0,-8
2003,RICHMOND UPON THAMES,0,6.68,7374,177182,18128,NA,0,0,0,NA
2003,SUTTON,29.13313405380547,5.95,7686,181267,21745,2013,2013,0,0,-10
2003,WALTHAM FOREST,41.1903661479998,6.12,7073,224115,19473,NA,0,0,0,NA
2004,BARNSLEY,13.82415254237288,5.88,9056,221227,49088,2012,2012,0,0,-8
2004,BIRMINGHAM,30.981422901408635,6.54,38699,1002376,151423,NA,0,0,0,NA
2004,BOLTON,21.984905172739584,5.7,10513,264511,49216.86,2016,2016,0,0,-12
2004,BRADFORD,23.77609730181876,6.11,18263,484650,88467,NA,0,0,0,NA
2004,BURY,26.981707317073173,6.22,7059,180999,34112,NA,0,0,0,NA
2004,CALDERDALE,9.924989581886374,6.25,8450,194980,28796,NA,0,0,0,NA
2004,DUDLEY,22.999522748965955,5.95,12962,306171,50288,2018,2018,0,0,-14
2004,GATESHEAD,25.2462401294679,5.9,8119,192317,35839,NA,0,0,0,NA
2004,KIRKLEES,26.65939468928577,5.93,15628,397530,61423,NA,0,0,0,NA
2004,KNOWSLEY,0,5.85,4573,149216,25121.57,2002,2002,1,1,2
2004,LEEDS,37.44967425517898,6.72,29823,723042,95627,NA,0,0,0,NA
2004,LIVERPOOL,4.666816703152812,5.79,16009,448091,97754,NA,0,0,0,NA
2004,MANCHESTER,1.7224569385765356,6.31,14726,444925,80002,NA,0,0,0,NA
2004,NEWCASTLE UPON TYNE,7.6937028438769595,6.09,11386,266884,55136,2015,2015,0,0,-11
2004,NORTH TYNESIDE,12.630075008929634,6.26,9162,193195,41995,2015,2015,0,0,-11
2004,OLDHAM,8.314276010415487,6.02,8482,218988,44165,2015,2015,0,0,-11
2004,ROTHERHAM,21.906802356722014,5.96,10287,251722,48542,NA,0,0,0,NA
2004,SALFORD,21.21385414853676,5.92,9206,217921,40219,2015,2015,0,0,-11
2004,SANDWELL,31.033281059418016,5.96,12314,288849,45912,NA,0,0,0,NA
2004,SEFTON,10.163888302736162,6.13,14230,278853,56868,2008,2008,0,0,-4
2004,SHEFFIELD,15.889258258882194,6.26,23683,519640,96260,2014,2014,0,0,-10
2004,SOLIHULL,5.867780638266868,6.72,8959,201153,20587,NA,0,0,0,NA
2004,SOUTH TYNESIDE,22.941708328901182,6,7049,150265,37604,2017,2017,0,0,-13
2004,ST HELENS,41.268408745949046,6.17,6749,175738,24377,NA,0,0,0,NA
2004,STOCKPORT,0,6.54,12686,282368,49056.428571429,NA,0,0,0,NA
2004,SUNDERLAND,16.42398673605069,5.71,10180,280113,60917,2015,2015,0,0,-11
2004,TRAFFORD,47.60386115777784,6.53,9612,214129,35119,2015,2015,0,0,-11
2004,WAKEFIELD,21.31271386037417,6.31,12799,318037,67509,NA,0,0,0,NA
2004,WALSALL,34.05940594059406,6.59,10237,256702,38885,NA,0,0,0,NA
2004,WIGAN,3.9594576806634194,5.61,10823,304958,37985,NA,0,0,0,NA
2004,WIRRAL,14.486805768640687,6.27,15942,315130,52144,2017,2017,0,0,-13
2004,WOLVERHAMPTON,28.90739612250886,6.3,10728,240567,44307,NA,0,0,0,NA
2004,BUCKINGHAMSHIRE,0,6.68,NA,NA,45768,2004,2004,1,1,0
2004,CAMBRIDGESHIRE,3.5208109077861502,6.54,NA,NA,66888,NA,0,0,0,NA
2004,DERBYSHIRE,33.7968447964083,6.16,NA,NA,128296,NA,0,0,0,NA
2004,DEVON,22.965769743306726,6.7,NA,NA,148582,NA,0,0,0,NA
2004,DORSET,24.68914991315115,6.78,NA,NA,58147,2017,2017,0,0,-13
2004,DURHAM,20.14458599854705,6,20590,495147,112874,2016,2016,0,0,-12
2004,EAST SUSSEX,10.741074722301923,6.75,NA,NA,97588,NA,0,0,0,NA
