"","Organisation","Organisation_fame_search","Company.name","Registered.number"
"785","Arc HD Services Ltd","Arc HD Services Ltd","ARC HD SERVICES LIMITED","07256314"
"786","Attivo Care Ltd","Attivo Care Ltd","ATTIVO CARE LIMITED","11937414"
"787","Pasture View Nurturing Homes Ltd","Pasture View Nurturing Homes Ltd","PASTURE VIEW NURTURING HOMES LTD.","11411001"
"788","Advanced Adolescent Care Solutions Ltd","Advanced Adolescent Care Solutions Ltd","ADVANCED ADOLESCENT CARE SOLUTIONS LIMITED","11685536"
"789","Sw Education & Care","Sw Education & Care","SW EDUCATION & CARE LTD","11991085"
"790","ASTON CHILDREN'S CARE LTD","ASTON childrens CARE LTD","ASTON CHILDREN'S CARE LTD","07794603"
"791","Channels & Choices Kent LLP","Channels & Choices Kent LLP","CHANNELS AND CHOICES KENT LLP","OC340944"
"792","Semi-Independent House Ltd","Semi-Independent House Ltd","SEMI-INDEPENDENT HOUSE LIMITED","06570060"
"793","Enhanced Young Persons Care Ltd","Enhanced Young Persons Care Ltd","ENHANCED YOUNG PERSONS' CARE LIMITED","07330888"
"794","New Horizons (nw) ltd","New Horizons (nw) ltd","NEW HORIZONS (NW) LTD","08724981"
"795","Achieving Aspirations CIC","Achieving Aspirations COMMUNITY INTEREST COMPANY","ACHIEVING ASPIRATIONS COMMUNITY INTEREST COMPANY","09390925"
"796","Seashell Trust","Seashell Trust","SEASHELL TRUST","04216714"
"797","KESWICK CARE LTD","KESWICK CARE LTD","KESWICK CARE LIMITED","05805541"
"798","Harmony Residential Homes Ltd ","Harmony Residential Homes Ltd","HARMONY RESIDENTIAL HOMES LTD","09175648"
"799","Spring Meadow Children's Home","Spring Meadow childrens Home","SPRING MEADOW CHILDRENS HOME LTD","11987412"
"800","Laska Care And Education Ltd","Laska Care And Education Ltd","LASKA CARE AND EDUCATION LTD","10159633"
"801","South West Complex Care Services","South West Complex Care Services","SOUTH WEST COMPLEX CARE SERVICES LTD","11630966"
"802","Gordon Care Services Limited","Gordon Care Services Limited","GORDON CARE SERVICES LIMITED","09641071"
"803","Children & Adolescents Placement Provisions Ltd","Children & Adolescents Placement Provisions Ltd","CHILDREN & ADOLESCENTS PLACEMENT PROVISIONS LTD","10119926"
"804","Hill Top Childrens Care Limited","Hill Top Childrens Care Limited","HILL TOP CHILDRENS CARE LIMITED","11904770"
"805","Timeout Childrens Homes Ltd","Timeout Childrens Homes Ltd","TIMEOUT CHILDRENS HOMES LIMITED","05033530"
"806","Anderida Adolescent Care Ltd","Anderida Adolescent Care Ltd","ANDERIDA ADOLESCENT CARE LIMITED","02722183"
"807","Birtenshaw","Birtenshaw","BIRTENSHAW","02978546"
"808","Next Stage 4Life LTD","Next Stage 4 Life LTD","NEXT STAGE 4 LIFE LTD","08256389"
"809","Worcestershire Children First","Worcestershire Children First","WORCESTERSHIRE CHILDREN FIRST","11447965"
"810","Homes For Support Limited","Homes For Support Limited","HOMES FOR SUPPORT LTD","07169035"
"811","Social Care Services ( clayton ) Ltd","Social Care Services ( clayton ) Ltd","SOCIAL CARE SERVICES (CLAYTON) LIMITED","04460745"
"812","XYP Childcare Limited","XYP Childcare Limited","XYP CHILDCARE LIMITED","11247302"
"813","Swan Children's Homes Ltd","Swan childrens Homes Ltd","SWAN CHILDREN'S HOMES LTD","11694149"
"814","Sunlight Children's Care Limited","Sunlight childrens Care Limited","SUNLIGHT CHILDREN'S CARE LIMITED","10558882"
"815","Positive Outcomes Childcare Limited","Positive Outcomes Childcare Limited","POSITIVE OUTCOMES CHILDCARE LIMITED","08327863"
"816","Footsteps to Futures Limited","Footsteps to Futures Limited","FOOTSTEPS TO FUTURES LIMITED","08950196"
"817","Penn Inspires Ltd","Penn Inspires Ltd","PENN INSPIRES LTD","12024174"
"818","Oak house Childrens Home Ltd","Oak house Childrens Home Ltd","OAK HOUSE CHILDRENS HOME LTD","08521419"
"819","SBL CARESERVICES (UK) LTD","SBL CARESERVICES (UK) LTD","SBL CARESERVICES (UK) LTD","11525398"
"820","Vcare - 24 Limited","Vcare - 24 Limited","VCARE-24 LIMITED","11014577"
"821","Holywell Children's Services Limited","Holywell childrens Services Limited","HOLYWELL CHILDREN'S SERVICES LIMITED","10943524"
"822","Aspiration House Ltd","Aspiration House Ltd","ASPIRATION HOUSE LIMITED","11906384"
"823","A-Triangle Care Ltd","A-Triangle Care Ltd","A-TRIANGLE CARE LTD","11751296"
"824","Omega Care Group Ltd","Omega Care Group Ltd","OMEGA CARE GROUP LTD","09596061"
"825","Phoenix Childcare Ltd","Phoenix Childcare Ltd","PHOENIX CHILDCARE LIMITED","IE641064"
"826","Pure Care Homes ltd","Pure Care Homes ltd","PURE CARE HOMES LTD","11667392"
"827","Pathways Care Group","Pathways Care Group","PATHWAYS CARE GROUP LIMITED","03409137"
"828","Lakeside @ Our Place Limited","Lakeside@OurPlace Limited","LAKESIDE@OURPLACE LIMITED","11259962"
"829","Flourish (Gloucestershire) Limited","Flourish (Gloucestershire) Limited","FLOURISH (GLOUCESTERSHIRE) LIMITED","10287758"
"830","Educare Support Limited","Educare Support Limited","EDUCARE SUPPORT LIMITED","11699836"
"831","Safe Places For Children Uk","Safe Places For Children Uk","SAFE PLACES FOR CHILDREN UK","10152838"
"832","Berry Gifford Ltd","Berry Gifford Ltd","BERRY GIFFORD LTD","09408518"
"833","Cherish Children's Care","Cherish childrens Care","CHERISH CHILDRENS CARE LTD","07433113"
"834","Haven Care Group Ltd","Haven Care Group Ltd","HAVEN CARE GROUP LIMITED","10015371"
"835","Restorative social care services ltd","Restorative social care services ltd","RESTORATIVE SOCIAL CARE SERVICES LTD.","10413929"
"836","Blossom Care Group Ltd","Blossom Care Group Ltd","BLOSSOM CARE GROUP LIMITED","11328440"
"837","Flourish Children's Services Limited","Flourish childrens Services Limited","FLOURISH CHILDRENS SERVICES LIMITED","12026735"
"838","Nirmal Homes Ltd","Nirmal Homes Ltd","NIRMAL HOMES LIMITED","10496270"
"839","CASC (BARROW) LIMITED","CASC (BARROW) LIMITED","CASC (BARROW) LIMITED","07575791"
"840","Progress Children's Services Limited","Progress childrens Services Limited","PROGRESS CHILDREN'S SERVICES LIMITED","04014026"
"841","Mercia Children Services Limited","Mercia Children Services Limited","MERCIA CHILDREN SERVICES LIMITED","11602772"
"842","Care 4 Every Child Limited","Care 4 Every Child Limited","CARE 4 EVERY CHILD LIMITED","11769512"
"843","Options Autism (1) Limited","Options Autism (1) Limited","OPTIONS AUTISM (1) LIMITED","04064685"
"844","Nottinghamshire YMCA","Nottinghamshire YMCA","YMCA ROBIN HOOD GROUP","00310342"
"845","Tab Care and Support Ltd","Tab Care and Support Ltd","TAB CARE AND SUPPORT LTD","10927051"
"846","ERA Care Limited","ERA Care Limited","ERA CARE LIMITED","05921904"
"847","Above and Beyond Residential Care ltd","Above and Beyond Residential Care ltd","ABOVE AND BEYOND RESIDENTIAL CARE LTD","12737244"
"848","Bttlr Limited","Bttlr Limited","BTTLR LIMITED","08226542"
"849","Guidance Care Limited","Guidance Care Limited","GUIDANCE CARE LIMITED","11839934"
"850","Windows For Children Ltd","Windows For Children Ltd","WINDOWS FOR CHILDREN LIMITED","07322888"
"851","Smartcare Services","Smartcare Services","SMARTCARE SERVICES LIMITED","05120182"
"852","Hand In Hand Childcare","Hand In Hand Childcare","HAND IN HAND CHILDCARE LLP","OC340936"
"853","Keys Child Care Ltd","Keys Child Care Ltd","KEYS CHILD CARE LIMITED","02928849"
"854","Heartwood RSC Ltd","Heartwood RSC Ltd","HEARTWOOD RSC LTD","11190614"
"855","Paramount Children Care Ltd","Paramount Children Care Ltd","PARAMOUNT CHILDREN CARE LTD","12617546"
"856","Anchor Care and Education Limited","Anchor Care and Education Limited","ANCHOR CARE AND EDUCATION LTD","12639169"
"857","The Hesley Group Limited","The Hesley Group Limited","THE HESLEY GROUP LIMITED","02665377"
"858","Northern Community Pathways Children's Residential Services Limited","Northern Community Pathways childrens Residential Services Limited","NORTHERN COMMUNITY PATHWAYS CHILDREN'S RESIDENTIAL SERVICES LTD","12070219"
"859","Achieving For Children Community Interest Company","Achieving For Children Community Interest Company","ACHIEVING FOR CHILDREN COMMUNITY INTEREST COMPANY","08878185"
"860","Sozo Care Homes Limited","Sozo Care Homes Limited","SOZO CARE HOMES LIMITED","11613542"
"861","Aspire 2 Be Ltd","Aspire 2 Be Ltd","ASPIRE 2 BE LTD","11221101"
"862","Midas Manors Ltd","Midas Manors Ltd","MIDAS MANORS LTD","12177249"
"863","Assure Care Homes Ltd","Assure Care Homes Ltd","ASSURE CARE HOMES LTD","09135191"
"864","Compass Children's Homes Kent Limited","Compass childrens Homes Kent Limited","COMPASS CHILDREN'S HOMES KENT LIMITED","03935834"
"865","Gracebridge Care Limited","Gracebridge Care Limited","GRACEBRIDGE CARE LIMITED","10475180"
"866","Fonjock's Social Work Practice","Fonjocks Social Work Practice","FONJOCK'S SOCIAL WORK PRACTICE LIMITED","07238591"
"867","Country Care Childrens Homes Ltd","Country Care Childrens Homes Ltd","COUNTRY CARE CHILDRENS HOMES LTD","04143257"
"868","Bfg Together Limited","Bfg Together Limited","BFG TOGETHER LTD","11968418"
"869","Mutual Care Ltd","Mutual Care Ltd","MUTUAL CARE LIMITED","11057106"
"870","Changing Lives Care Group Ltd","Changing Lives Care Group Ltd","CHANGING LIVES CARE GROUP LTD","10765271"
"871","Solace for Children Ltd","Solace for Children Ltd","SOLACE FOR CHILDREN LIMITED","10560189"
"872","Care Today (Childrens Services) Ltd","Care Today (Childrens Services) Ltd","CARE TODAY (CHILDRENS SERVICES) LTD","03576741"
"873","R G CARE LTD","R G CARE LTD","R G CARE LTD.","00381793"
"874","HUNTERCOMBE YOUNG PEOPLE LTD","HUNTERCOMBE YOUNG PEOPLE LTD","ACTIVE YOUNG PEOPLE LIMITED","12887759"
"875","Consistent Quality Support Ltd","Consistent Quality Support Ltd","CONSISTENT QUALITY SUPPORT LTD","12087588"
"876","A & S Children's Services LTD","A & S childrens Services LTD","A & S CHILDRENS SERVICES LTD","09713039"
"877","Blossom Children's Homes Limited","Blossom childrens Homes Limited","BLOSSOM CHILDREN'S HOMES LIMITED","12785371"
"878","GAC FAMILY SERVICES LIMITED","GAC FAMILY SERVICES LIMITED","GAC FAMILY SERVICES LIMITED","12250915"
"879","North West Youth Services Limited","Northwest Youth Services Limited","NORTHWEST YOUTH SERVICES LTD","11988268"
"880","Highlands (Fareham) Limited","Highlands (Fareham) Limited","HIGHLANDS (FAREHAM) LIMITED","11928406"
"881","Indigo Children's Care Homes Ltd","Indigo childrens Care Homes Ltd","INDIGO CHILDRENS CARE HOMES LTD","12570171"
"882","Connect Care Solutions Limited","Connect Care Solutions Limited","CONNECT CARE SOLUTIONS LIMITED","12473508"
"883","Paramount Children's Services Ltd","Paramount childrens Services Ltd","PARAMOUNT CHILDREN'S SERVICES LTD","12015758"
"884","Solace Care Redbridge Ltd","Solace Care Redbridge Ltd","SOLACE CARE REDBRIDGE LTD","12876862"
"885","Rainbows Corner Ltd","Rainbows Corner Ltd","RAINBOW CORNER LIMITED","04812823"
"886","Onextra Care Ltd","Onextra Care Ltd","ONEXTRA CARE LTD","11855426"
"887","PCF Residential Childcare Ltd","PCF Residential Childcare Ltd","PCF RESIDENTIAL CHILDCARE LTD","11182691"
"888","Pathways Residential Child Care Limited","Pathways Residential Child Care Limited","PATHWAYS RESIDENTIAL CHILD CARE LIMITED","10650190"
"889","Hmo Ne Ltd","Hmo Ne Ltd","HMO NE LTD","08527229"
"890","Empower Support Services Limited","Empower Support Services Limited","EMPOWER FAMILY SUPPORT SERVICES LTD","06123107"
"891","Horizon Transitional Care Limited","Horizon Transitional Care Limited","HORIZON TRANSITIONAL CARE LTD","09903786"
"892","Kelwel Care Limited","Kelwel Care Limited","KELWEL CARE LIMITED","10259225"
"893","Champion Children (NW London) Limited","Champion Children (NW London) Limited","CHAMPION CHILDREN (NW LONDON) LIMITED","12055603"
"894","Barnardo Services Limited","Barnardo Services Limited","BARNARDO SERVICES LIMITED","01227919"
"895","Nisa Care Home Limited","Nisa Care Home Limited","NISA CARE HOME LIMITED","11216007"
"896","4 Pure Heart Limited","4PureHeart Limited","4PUREHEART LIMITED","10057047"
"897","Casaegis Ltd","Casaegis Ltd","CASAEGIS LIMITED","10436755"
"898","Juventas Services Limited","Juventas Services Limited","JUVENTAS SERVICES LIMITED","09763319"
"899","Wynford House Ltd","Wynford House Ltd","WYNFORD HOUSE LTD","11324496"
"900","Pilgrim Extra Care Ltd","Pilgrim Extra Care Ltd","PILGRIMAGE SHORT STAY RECOVERY UNITS LTD","11255490"
"901","Lavender Grove Cares Limited","Lavender Grove Cares Limited","LAVENDER GROVE CARES LTD.","11067869"
"902","Capital Childrens Care Ltd","Capital Childrens Care Ltd","CAPITAL CHILDREN'S CARE LTD","11563047"
"903","CF Support Services Limited","CF Support Services Limited","CF SUPPORT SERVICES LIMITED","06872748"
"904","J&r Care Limited","J&r Care Limited","J & R CARE LIMITED","04556511"
"905","Safe Haven Adolescent Care Group Ltd","Safe Haven Adolescent Care Group Ltd","SAFE HAVEN ADOLESCENT CARE GROUP LIMITED","12321628"
"906","Clervaux Garden School","Clervaux Garden School","CLERVAUX GARDEN SCHOOL","11740783"
"907","Senad Limited","Senad Limited","SENAD LIMITED","01176549"
"908","TJY Care Ltd","TJY Care Ltd","TJY CARE LTD","12880013"
"909","Coastal Quality Care Ltd","Coastal Quality Care Ltd","COASTAL QUALITY CARE LTD","12221581"
"910","Alexanders House Ltd","Alexanders House Ltd","ALEXANDERS HOUSE LTD.","10968674"
"911","Unique Care Group Limited","Unique Care Group Limited","UNIQUE CARE GROUP LTD","12317059"
"912","G&S Caring for Children and Young People Ltd","G&SCARING FORCHILDREN AND YOUNG PEOPLE LTD","G&SCARING FORCHILDREN AND YOUNG PEOPLE LTD","12654758"
"913","T. How Homely Limited","T. How Homely Limited","T. HOW HOMELY LIMITED","09764310"
"914","Chillington Close","Chillington Close","CHILLINGTON CLOSE LTD","11840403"
"915","Rite Directions Ltd","Rite Directions Ltd","RITE DIRECTIONS LTD","06592777"
"916","Evoke Care Ltd","Evoke Care Ltd","EVOKE CARE GROUP LIMITED","10585966"
"917","Child First Residential LTD","Child First Residential LTD","CHILD FIRST RESIDENTIAL LTD","11946754"
"918","Raise House Limited","Raise House Limited","RAISE HOUSE LIMITED","10245965"
"919","The Open Care Group Limited","The Open Care Group Limited","THE OPEN CARE GROUP LIMITED","12344969"
"920","Overley Hall Limited","Overley Hall Limited","OVERLEY HALL LIMITED","01558428"
"921","iMapcentre Ltd","iMap centre Ltd","IMAP CENTRE LIMITED","07104954"
"922","Willows21 Limited","Willows 21 Limited","WILLOWS 21 LTD","11426511"
"923","Castle Care Homes Ltd","Castle Care Homes Ltd","CASTLE CARE HOMES LTD","11804393"
"924","Madiba Limited","Madiba Limited","MADIBA LIMITED","06141614"
"925","247Bluebell Care LTD","247 Bluebell Care LTD","247 BLUEBELL CARE LIMITED","08541393"
"926","VITA NOVA NE LTD","VITA NOVA NE LTD","VITA NOVA NE LTD","12716161"
"927","One Step Care Limited","One Step Care Limited","ONE STEP CARE LIMITED","06556134"
"928","Woodford Children's Services Ltd","Woodford childrens Services Ltd","WOODFORD CHILDREN'S SERVICES LIMITED","11884593"
"929","Hazelmont Social Care Limited","Hazelmont Social Care Limited","HAZELMONT SOCIAL CARE LIMITED","12058943"
"930","Pbs Care Homes Ltd","Pbs Care Homes Ltd","PBS CARE HOMES LTD","11571666"
"931","Almond Care Children's Services Limited","Almond Care childrens Services Limited","ALMOND CARE CHILDRENS SERVICES LIMITED","11736763"
"932","Future 19 Social Care Limited","Future 19 Social Care Limited","FUTURE 19 SOCIAL CARE LIMITED","12221719"
"933","Seva Childcare Ltd","Seva Childcare Ltd","SEVA CHILDCARE LTD","11878092"
"934","New Beginnings Young Peoples Care And Support Services Ltd","New Beginnings Young Peoples Care And Support Services Ltd","NEW BEGINNINGS YOUNG PEOPLE'S CARE AND SUPPORT SERVICES LTD","11010732"
"935","D & J Care Services-Residential Ltd","D & J Care Services-Residential Ltd","D&J CARE SERVICES-RESIDENTIAL LTD","11129353"
"936","Eventus Achieves Limited","Eventus Achieves Limited","EVENTUS ACHIEVES LIMITED","11535966"
"937","Dorset Emergency Placement Services Ltd.","Dorset Emergency Placement Services Ltd.","DORSET EMERGENCY PLACEMENT SERVICES LTD.","11148474"
"938","Kennedy And Elliott Partnership Llp","Kennedy And Elliott Partnership Llp","KENNEDY AND ELLIOTT PARTNERSHIP LLP","OC422047"
"939","Stepping Stones Care Ltd","Stepping Stones Care Ltd","STEPPING STONES CARE LIMITED","IE491453"
"940","Innovate Therapeutic Care Limited","Innovate Therapeutic Care Limited","INNOVATE THERAPEUTIC CARE LIMITED","12552551"
"941","Invigor Adolescent Care Limited","Invigor Adolescent Care Limited","INVIGOR ADOLESCENT CARE LIMITED","11666234"
"942","Cascade (banks House) Limited","Cascade (banks House) Limited","CASCADE (BANKS HOUSE) LIMITED","10601785"
"943","Hazelmont Care Ltd","Hazelmont Care Ltd","HAZELMONT CARE LIMITED","11251003"
"944","Allinonecare Limited","Allinonecare Limited","ALLINONECARE LTD","11825835"
"945","James Kids Home Ltd","James Kids Home Ltd","JAMES KIDS HOME LTD","11559876"
"946","Care 4 Children Residential Services Limited","Care 4 Children Residential Services Limited","YOUR CHAPTER LIMITED","09097182"
"947","Witherslack Group","Witherslack Group","WITHERSLACK GROUP LIMITED","03579104"
"948","Aspris Children's Services Limited","Aspris childrens Services Limited","ASPRIS CHILDREN'S SERVICES LIMITED","06244880"
"949","YMCA ROBIN HOOD GROUP","YMCA ROBIN HOOD GROUP","YMCA ROBIN HOOD GROUP","00310342"
"950","TLC Youth Care Ltd","TLC Youth Care Ltd","TLC YOUTH CARE LIMITED","09597980"
"951","Slough Children First Limited","Slough Children First Limited","SLOUGH CHILDREN FIRST LIMITED","09487106"
"952","Acorn Homes (UK) Ltd","Acorn Homes (UK) Ltd","ACORN HOMES (U.K.) LIMITED","03218525"
"953","Hexagon Care Services Ltd","Hexagon Care Services Ltd","HEXAGON CARE SERVICES LIMITED","08885676"
"954","Compass Childrens Homes Limited","Compass Childrens Homes Limited","COMPASS CHILDREN'S HOMES LIMITED","04318432"
"955","Thornleigh Camphill Communities Limited","Thornleigh Camphill Communities Limited","THORNLEIGH CAMPHILL COMMUNITIES LIMITED","CHA307104"
"956","Cambian Autism Services Ltd","Cambian Autism Services Ltd","CAMBIAN AUTISM SERVICES LIMITED","03449214"
"957","Exceptional Care Limited","Exceptional Care Limited","EXCEPTIONAL CARE LIMITED","05555624"
"958","Solent Childcare LTD","solent Child care LTD","SOLENT CHILD CARE LIMITED","09759708"
"959","Phoenix Care & Education Ltd","Phoenix Care & Education Ltd","PHOENIX CARE & EDUCATION LTD","09545276"
"960","Kites Children Services Limited","Kites Children Services Limited","KITES CHILDRENS SERVICES LIMITED","04106334"
"961","Beacon Childcare Ltd","Beacon Childcare Ltd","BEACON CHILDCARE LTD","09137138"
"962","Cove Care Residential Limited","Cove Care Residential Limited","COVE CARE RESIDENTIAL LIMITED","06474020"
"963","Artemis Support Limited","Artemis Support Limited","COMPASS CHILDREN'S HOMES NORTH EAST LIMITED","07013791"
"964","New Horizons nw ltd","New Horizons nw ltd","NEW HORIZONS (NW) LTD","08724981"
"965","Calcot Services for Children Limited","Calcot Services for Children Limited","CALCOT SERVICES FOR CHILDREN LIMITED","05957737"
"966","Benjamin UK Ltd","Benjamin UK Ltd","BENJAMIN UK LTD","04938472"
"967","Aspire Care and Education Services Ltd","Aspire Care and Education Services Ltd","ASPIRE CARE AND EDUCATION SERVICES LIMITED","09910351"
"968","ROC Northwest Limited ","ROC Northwest Limited","ROC NORTHWEST LIMITED","05564417"
"969","Beaufort Care Group Limited","Beaufort Care Group Limited","BEAUFORT CARE GROUP LIMITED","04690084"
"970","Radical Services Limited","Radical Services Limited","RADICAL SERVICES LIMITED","03015008"
"971","My Choice Children's Homes ltd","My Choice childrens Homes ltd","MY CHOICE CHILDREN'S HOMES LIMITED","03861603"
"972","Achieving Aspirations  Community Interest Company","Achieving Aspirations Community Interest Company","ACHIEVING ASPIRATIONS COMMUNITY INTEREST COMPANY","09390925"
"973","Area Camden Limited ","Area Camden Limited","AREA CAMDEN LIMITED","08279863"
"974","Restorative Social Care Services Ltd","Restorative Social Care Services Ltd","RESTORATIVE SOCIAL CARE SERVICES LTD.","10413929"
"975","SureCare Residential Ltd","SureCare Residential Ltd","SURECARE RESIDENTIAL LTD","06506137"
"976","Cameron & Cooper Limited","Cameron & Cooper Limited","CAMERON & COOPER LIMITED","10624313"
"977","Gravitas Care LTD","Gravitas Care LTD","GRAVITAS CARE LIMITED","10235539"
"978","Parkview Care (Broadstairs) Limited","Parkview Care (Broadstairs) Limited","PARKVIEW CARE (BROADSTAIRS) LIMITED","07246265"
"979","Arc-HD Services Ltd","Arc-HD Services Ltd","ARC HD SERVICES LIMITED","07256314"
"980"," Swan Cottage Limited","Swan Cottage Limited","SWAN COTTAGE LIMITED","08522511"
"981","Oasis Adolescent Services Ltd","Oasis Adolescent Services Ltd","OASIS ADOLESCENT SERVICES LIMITED","10606038"
"982","Ashwood Childrens Care Home Ltd","Ashwood Childrens Care Home Ltd","ASHWOOD CHILDRENS CARE HOME LTD","10311967"
"983","Albrighton Care Limited","Albrighton Care Limited","ALBRIGHTON CARE LIMITED","08478226"
"984","Social Care Services (Clayton) Limited","Social Care Services (Clayton) Limited","SOCIAL CARE SERVICES (CLAYTON) LIMITED","04460745"
"985","Care Perspectives Limited","Care Perspectives Limited","CARE PERSPECTIVES LIMITED","10760599"
"986","Action for Children","Action for Children","ACTION FOR CHILDREN","04764232"
"987","Q+","Q+","Q+","CHA1169817"
"988","Oak Childcare Plus Ltd","Oak Childcare Plus Ltd","OAK CHILDCARE PLUS LIMITED","08954737"
"989","Harmony Childrens Services ","Harmony Childrens Services","HARMONY CHILDREN'S SERVICES LIMITED","07350725"
"990","N H Care Limited","N H Care Limited","N H CARE LIMITED","06038073"
"991","Josh's Place Limited","Joshs Place Limited","AR CURAM LIMITED","09943211"
"992","Protea Care Limited","Protea Care Limited","PROTEA CARE LIMITED","11208342"
"993","Brighter Futures For Children Limited","Brighter Futures For Children Limited","BRIGHTER FUTURES FOR CHILDREN LIMITED","11293709"
"994","Solace for Children Limited","Solace for Children Limited","SOLACE FOR CHILDREN LIMITED","10560189"
"995","Inspirations Leicestershire Limited","Inspirations Leicestershire Limited","INSPIRATIONS LEICESTERSHIRE LIMITED","07765916"
"996","Purple Oak Support","Purple Oak Support","PURPLE OAK SUPPORT","02962601"
"997","Kennedy And Elliott Partnership LLP","Kennedy And Elliott Partnership LLP","KENNEDY AND ELLIOTT PARTNERSHIP LLP","OC422047"
"998","Homes for Support Limited","Homes for Support Limited","HOMES FOR SUPPORT LTD","07169035"
"999","Hapin Care Ltd","Hapin Care Ltd","HAPIN CARE LTD","11510534"
"1000","Heartwood RSL Ltd","Heartwood RSL Ltd","HEARTWOOD RSL LTD","11767447"
"1001","Care 4 Every Child Ltd","Care 4 Every Child Ltd","CARE 4 EVERY CHILD LIMITED","11769512"
"1002","Brinscall Care","Brinscall Care","BRINSCALL CARE LIMITED","11328181"
"1003","The Ryes College LTD","The Ryes College LTD","THE RYES COLLEGE LIMITED","07571638"
"1004","Caterpillar Care Services Ltd","Caterpillar Care Services Ltd","CATERPILLAR CARE SERVICES LTD","11282684"
"1005","Proactive Care (manchester) ltd","Proactive Care (manchester) ltd","PROACTIVE CARE (MANCHESTER) LTD","08759855"
"1006","Life Change Care Ltd","Life Change Care Ltd","LIFE CHANGE CARE LTD","09119328"
"1007","Gracewells Care Ltd","Gracewells Care Ltd","GRACEWELLS CARE LIMITED","09732662"
"1008","Empower Residentials Limited","Empower Residentials Limited","EMPOWER RESIDENTIALS LIMITED","11501541"
"1009","Oak House Childrens Home Ltd","Oak House Childrens Home Ltd","OAK HOUSE CHILDRENS HOME LTD","08521419"
"1010","Gracebridge Care Ltd","Gracebridge Care Ltd","GRACEBRIDGE CARE LIMITED","10475180"
"1011","BTTLR LIMITED","BTTLR LIMITED","BTTLR LIMITED","08226542"
"1012","Woodford Children's Services Limited","Woodford childrens Services Limited","WOODFORD CHILDREN'S SERVICES LIMITED","11884593"
"1013","Blossom Care Group Limited","Blossom Care Group Limited","BLOSSOM CARE GROUP LIMITED","11328440"
"1014","Flourish Childrens Services Ltd","Flourish Childrens Services Ltd","FLOURISH CHILDRENS SERVICES LIMITED","12026735"
"1015","Nirmal Homes Limited","Nirmal Homes Limited","NIRMAL HOMES LIMITED","10496270"
"1016","Almond Care Children's Services Ltd","Almond Care childrens Services Ltd","ALMOND CARE CHILDRENS SERVICES LIMITED","11736763"
"1017","HMO NE LTD","HMO NE LTD","HMO NE LTD","08527229"
"1018","Northern Community Pathways Childrens Residential Services Limited","Northern Community Pathways Childrens Residential Services Limited","NORTHERN COMMUNITY PATHWAYS CHILDREN'S RESIDENTIAL SERVICES LTD","12070219"
"1019","Safe Haven Adolescent Care Group Limited","Safe Haven Adolescent Care Group Limited","SAFE HAVEN ADOLESCENT CARE GROUP LIMITED","12321628"
"1020","MERCIA CHILDREN SERVICES LIMITED","MERCIA CHILDREN SERVICES LIMITED","MERCIA CHILDREN SERVICES LIMITED","11602772"
"1021","Solo Independent Living Adolescent Care Services Ltd ","Solo Independent Living Adolescent Care Services Ltd","SOLO INDEPENDENT LIVING ADOLESCENT CARE SERVICES LTD","12389742"
"1022","Halliwell Homes (Midlands Division) Limited","Halliwell Homes (Midlands Division) Limited","HALLIWELL HOMES (MIDLANDS DIVISION) LIMITED","11839967"
"1023","Bright Futures Care Ltd","Bright Futures Care Ltd","BRIGHT FUTURES CARE LIMITED","08157115"
"1024","The Beeches UK Limited","The Beeches UK Limited","THE BEECHES UK LIMITED","04719164"
"1025","Willows (Devon) Ltd","Willows (Devon) Ltd","WILLOWS (DEVON) LIMITED","05282967"
"1026","Strive To Care Ltd","Strive To Care Ltd","STRIVE TO CARE LTD","12377099"
"1027","Supporting Hands Care Services Ltd","Supporting Hands Care Services Ltd","SUPPORTING HANDS CARE SERVICES LTD","09175083"
"1028","Castle Care Homes","Castle Care Homes","CASTLE CARE HOMES LIMITED","02862412"
"1029","Enhanced Young Persons Care Limited","Enhanced Young Persons Care Limited","ENHANCED YOUNG PERSONS' CARE LIMITED","07330888"
"1030","Support And Sustain Care Ltd","Support And Sustain Care Ltd","SUPPORT AND SUSTAIN CARE LTD","12154843"
"1031","Connect Care solutions limited","Connect Care solutions limited","CONNECT CARE SOLUTIONS LIMITED","12473508"
"1032","Northamptonshire Childrens Trust Limited","Northamptonshire Childrens Trust Limited","NORTHAMPTONSHIRE CHILDREN'S TRUST LIMITED","12430084"
"1033","Madiba ltd","Madiba ltd","MADIBA LTD","11835352"
"1034","Oakley House Children's Home Limited","Oakley House childrens Home Limited","OAKLEY HOUSE CHILDRENS HOME LIMITED","07786312"
"1035","Central & Southern Homes Ltd","Central & Southern Homes Ltd","CENTRAL & SOUTHERN HOMES LTD","12617058"
"1036","247 Bluebell Care Limited","247 Bluebell Care Limited","247 BLUEBELL CARE LIMITED","08541393"
"1037","PURE GRACE HOMES LIMITED","PURE GRACE HOMES LIMITED","PURE GRACE HOMES LIMITED","11175885"
"1038","Clearwater Care (Hackney) Ltd","Clearwater Care (Hackney) Ltd","CLEARWATER CARE (HACKNEY) LIMITED","05084728"
"1039","Clear Water Care Homes Ltd","Clear Water Care Homes Ltd","CLEAR WATER CARE HOMES LTD","12598483"
"1040","GAC Family Services Ltd","GAC Family Services Ltd","GAC FAMILY SERVICES LIMITED","12250915"
