Sector,URN,Places,Local.authority,Organisation,Organisation_fame_search,Company.name,Join,Leave,Registered.number
Private,2590109,3,BURY,4 Pure Heart Limited,4PureHeart Limited,4PUREHEART LIMITED,2020-06-10,NA,10057047
Private,2594007,2,SALFORD,Cambian Childcare Ltd,Cambian Childcare Ltd,CAMBIAN CHILDCARE LIMITED,2020-06-09,NA,04280519
Private,1185828,4,WIGAN,Next Stage 4Life LTD,Next Stage 4 Life LTD,NEXT STAGE 4 LIFE LTD,2016-02-08,NA,08256389
Private,SC378407,2,ROCHDALE,Timeout Childrens Homes Ltd,Timeout Childrens Homes Ltd,TIMEOUT CHILDRENS HOMES LIMITED,NA,NA,05033530
Private,SC416267,2,ROCHDALE,Timeout Childrens Homes Ltd,Timeout Childrens Homes Ltd,TIMEOUT CHILDRENS HOMES LIMITED,NA,NA,05033530
Private,SC008600,6,STOCKPORT,New Horizons-(stockport) Ltd,New Horizons-(stockport) Ltd,NEW HORIZONS (STOCKPORT) LTD,NA,NA,03431532
Private,2600759,3,WIGAN,Next Stage 4Life LTD,Next Stage 4 Life LTD,NEXT STAGE 4 LIFE LTD,2020-08-19,NA,08256389
Private,2582248,2,BURY,Sandcastle Care Ltd,Sandcastle Care Ltd,SANDCASTLE CARE LTD,2020-03-04,NA,04922373
Voluntary,SC373044,4,BOLTON,Birtenshaw,Birtenshaw,BIRTENSHAW,NA,NA,02978546
Private,SC386837,2,STOCKPORT,New Horizons-(stockport) Ltd,New Horizons-(stockport) Ltd,NEW HORIZONS (STOCKPORT) LTD,NA,NA,03431532
Voluntary,SC467796,3,BOLTON,Birtenshaw,Birtenshaw,BIRTENSHAW,NA,NA,02978546
Private,1244493,4,TAMESIDE,Stepping Stones Childrens Homes Limited,Stepping Stones Childrens Homes Limited,STEPPING STONES CHILDRENS HOMES LIMITED,2017-02-10,NA,09977747
Private,2550622,6,OLDHAM,Cambian Childcare Ltd,Cambian Childcare Ltd,CAMBIAN CHILDCARE LIMITED,2020-06-01,NA,04280519
Private,1244881,2,ROCHDALE,Timeout Childrens Homes Ltd,Timeout Childrens Homes Ltd,TIMEOUT CHILDRENS HOMES LIMITED,2016-09-13,NA,05033530
Private,1263425,2,STOCKPORT,Social Care Services ( clayton ) Ltd,Social Care Services ( clayton ) Ltd,SOCIAL CARE SERVICES (CLAYTON) LIMITED,2018-09-25,NA,04460745
Private,1265092,7,BOLTON,4 Pure Heart Limited,4PureHeart Limited,4PUREHEART LIMITED,2018-01-03,NA,10057047
Local Authority,SC040926,5,WIGAN,Wigan Council,Wigan Council,NA,NA,NA,NA
Private,SC357133,3,STOCKPORT,Social Care Services ( clayton ) Ltd,Social Care Services ( clayton ) Ltd,SOCIAL CARE SERVICES (CLAYTON) LIMITED,NA,NA,04460745
Private,2608484,2,SALFORD,Social Care Services ( clayton ) Ltd,Social Care Services ( clayton ) Ltd,SOCIAL CARE SERVICES (CLAYTON) LIMITED,2020-12-22,NA,04460745
Private,2616383,2,SALFORD,Onextra Care Ltd,Onextra Care Ltd,ONEXTRA CARE LTD,2021-02-25,NA,11855426
Private,2605180,3,MANCHESTER,Invigor Adolescent Care Limited,Invigor Adolescent Care Limited,INVIGOR ADOLESCENT CARE LIMITED,2020-12-15,NA,11666234
Private,SC062263,1,ROCHDALE,Timeout Childrens Homes Ltd,Timeout Childrens Homes Ltd,TIMEOUT CHILDRENS HOMES LIMITED,NA,NA,05033530
Voluntary,SC483533,3,BOLTON,Birtenshaw,Birtenshaw,BIRTENSHAW,2015-01-27,NA,02978546
Private,1159258,4,MANCHESTER,Cambian Childcare Limited,Cambian Childcare Limited,CAMBIAN CHILDCARE LIMITED,2015-10-14,NA,04280519
